episode_id,overpass_utc,platform,sensor_type,collection,n_scenes,aoi_coverage,cloud_pct,hours_from_begin,hours_after_end,during_episode,window_label,scene_ids
161208_0,2021-08-11T17:02:24Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,36.2,5.04,3.37,False,post,S2A_15TXF_20210811_3_L2A;S2A_15TXF_20210811_0_L2A;S2A_15TXF_20210811_1_L2A;S2A_15TXF_20210811_2_L2A
161208_0,2021-08-11T23:57:26Z,Sentinel-1,radar,sentinel-1-grd,1,1.0,,11.96,10.29,False,post,S1A_IW_GRDH_1SDV_20210811T235713_20210811T235738_039189_04A034
161640_0,2021-08-23T16:47:38Z,Landsat,optical,landsat-c2-l2,1,1.0,29.0,-44.07,-45.21,False,pre,LC08_L2SP_025031_20210823_02_T1
161640_0,2021-08-23T23:57:39Z,Sentinel-1,radar,sentinel-1-grd,2,0.1683,,-36.91,-38.04,False,pre,S1A_IW_GRDH_1SDV_20210823T235714_20210823T235739_039364_04A63D;S1A_IW_GRDH_1SDV_20210823T235739_20210823T235806_039364_04A63D
161640_0,2021-08-24T17:12:12Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,5.7,-19.66,-20.8,False,pre,S2A_15TWG_20210824_0_L2A;S2A_15TWG_20210824_1_L2A;S2A_15TWF_20210824_1_L2A;S2A_15TWF_20210824_0_L2A
161640_0,2021-08-26T17:02:12Z,Sentinel-2,optical,sentinel-2-l2a,4,0.6946,99.8,28.17,27.04,False,post,S2B_15TWG_20210826_1_L2A;S2B_15TWG_20210826_0_L2A;S2B_15TWF_20210826_1_L2A;S2B_15TWF_20210826_0_L2A
161657_0,2021-08-26T17:01:57Z,Sentinel-2,optical,sentinel-2-l2a,8,0.6514,100.0,-43.97,-45.97,False,pre,S2B_15TXH_20210826_1_L2A;S2B_15TXH_20210826_0_L2A;S2B_15TWH_20210826_0_L2A;S2B_15TWH_20210826_1_L2A;S2B_15TXG_20210826_1_L2A;S2B_15TXG_20210826_0_L2A;S2B_15TWG_20210826_1_L2A;S2B_15TWG_20210826_0_L2A
161657_0,2021-08-29T00:06:01Z,Sentinel-1,radar,sentinel-1-grd,1,1.0,,11.1,9.1,False,post,S1A_IW_GRDH_1SDV_20210829T000547_20210829T000615_039437_04A8B3
161657_0,2021-08-29T17:11:51Z,Sentinel-2,optical,sentinel-2-l2a,8,1.0,73.0,28.2,26.2,False,post,S2B_15TXH_20210829_0_L2A;S2B_15TXH_20210829_1_L2A;S2B_15TWH_20210829_1_L2A;S2B_15TWH_20210829_0_L2A;S2B_15TXG_20210829_1_L2A;S2B_15TXG_20210829_0_L2A;S2B_15TWG_20210829_1_L2A;S2B_15TWG_20210829_0_L2A
162075_0,2021-08-14T16:53:58Z,Landsat,optical,landsat-c2-l2,2,1.0,0.0,47.6,46.6,False,post,LC08_L2SP_026031_20210814_02_T1;LC08_L2SP_026032_20210814_02_T1
162075_0,2021-08-14T17:12:29Z,Sentinel-2,optical,sentinel-2-l2a,8,1.0,0.6,47.91,46.91,False,post,S2A_15TWF_20210814_1_L2A;S2A_15TWF_20210814_0_L2A;S2A_15TVF_20210814_1_L2A;S2A_15TVF_20210814_0_L2A;S2A_15TWE_20210814_1_L2A;S2A_15TWE_20210814_0_L2A;S2A_15TVE_20210814_1_L2A;S2A_15TVE_20210814_0_L2A
162145_0,2021-08-07T16:47:09Z,Landsat,optical,landsat-c2-l2,1,0.0688,99.9,-36.46,-38.21,False,pre,LC08_L2SP_025030_20210807_02_T1
162145_0,2021-08-07T17:21:46Z,Sentinel-2,optical,sentinel-2-l2a,4,0.0192,97.7,-35.89,-37.64,False,pre,S2A_15TWH_20210807_1_L2A;S2A_15TWH_20210807_0_L2A;S2A_15TVH_20210807_1_L2A;S2A_15TVH_20210807_0_L2A
162145_0,2021-08-09T17:11:51Z,Sentinel-2,optical,sentinel-2-l2a,6,1.0,57.9,11.95,10.2,False,post,S2B_15TWH_20210809_2_L2A;S2B_15TWH_20210809_1_L2A;S2B_15TWH_20210809_0_L2A;S2B_15TVH_20210809_2_L2A;S2B_15TVH_20210809_1_L2A;S2B_15TVH_20210809_0_L2A
162145_0,2021-08-11T00:05:36Z,Sentinel-1,radar,sentinel-1-grd,1,0.9979,,42.84,41.09,False,post,S1B_IW_GRDH_1SDV_20210811T000522_20210811T000551_028191_035CFA
162234_0,2021-08-29T00:06:01Z,Sentinel-1,radar,sentinel-1-grd,1,1.0,,-30.4,-77.88,False,pre,S1A_IW_GRDH_1SDV_20210829T000547_20210829T000615_039437_04A8B3
162234_0,2021-08-29T17:11:53Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,94.3,-13.3,-60.79,False,pre,S2B_15TWH_20210829_1_L2A;S2B_15TWH_20210829_0_L2A;S2B_15TWG_20210829_1_L2A;S2B_15TWG_20210829_0_L2A
162234_0,2021-08-30T16:53:39Z,Landsat,optical,landsat-c2-l2,2,1.0,0.4,10.39,-37.09,True,during,LC08_L2SP_026030_20210830_02_T1;LC08_L2SP_026031_20210830_02_T1
162234_0,2021-08-31T15:45:59Z,Landsat,optical,landsat-c2-l2,2,0.9744,99.0,33.27,-14.22,True,during,LE07_L2SP_025030_20210831_02_T1;LE07_L2SP_025031_20210831_02_T2
162520_0,2021-08-26T17:01:47Z,Sentinel-2,optical,sentinel-2-l2a,6,0.3051,99.8,-34.95,-114.57,False,pre,S2B_15TXJ_20210826_1_L2A;S2B_15TXJ_20210826_0_L2A;S2B_15TXH_20210826_1_L2A;S2B_15TXH_20210826_0_L2A;S2B_15TWH_20210826_0_L2A;S2B_15TWH_20210826_1_L2A
162520_0,2021-08-27T17:21:38Z,Sentinel-2,optical,sentinel-2-l2a,8,0.0367,79.9,-10.62,-90.24,False,pre,S2A_15TWJ_20210827_1_L2A;S2A_15TWJ_20210827_0_L2A;S2A_15TVJ_20210827_1_L2A;S2A_15TVJ_20210827_0_L2A;S2A_15TWH_20210827_1_L2A;S2A_15TWH_20210827_0_L2A;S2A_15TVH_20210827_1_L2A;S2A_15TVH_20210827_0_L2A
162520_0,2021-08-29T00:06:01Z,Sentinel-1,radar,sentinel-1-grd,1,0.8689,,20.12,-59.5,True,during,S1A_IW_GRDH_1SDV_20210829T000547_20210829T000615_039437_04A8B3
162520_0,2021-08-29T15:58:19Z,Landsat,optical,landsat-c2-l2,1,0.0492,76.0,35.99,-43.63,True,during,LE07_L2SP_027030_20210829_02_T1
162520_0,2021-08-29T17:11:39Z,Sentinel-2,optical,sentinel-2-l2a,12,1.0,83.7,37.21,-42.41,True,during,S2B_15TXJ_20210829_1_L2A;S2B_15TXJ_20210829_0_L2A;S2B_15TWJ_20210829_1_L2A;S2B_15TWJ_20210829_0_L2A;S2B_15TVJ_20210829_1_L2A;S2B_15TVJ_20210829_0_L2A;S2B_15TXH_20210829_0_L2A;S2B_15TXH_20210829_1_L2A;S2B_15TWH_20210829_1_L2A;S2B_15TWH_20210829_0_L2A;S2B_15TVH_20210829_1_L2A;S2B_15TVH_20210829_0_L2A
162520_0,2021-08-30T16:53:39Z,Landsat,optical,landsat-c2-l2,2,0.87,0.4,60.91,-18.71,True,during,LC08_L2SP_026030_20210830_02_T1;LC08_L2SP_026031_20210830_02_T1
162520_0,2021-08-31T15:45:59Z,Landsat,optical,landsat-c2-l2,2,0.6836,99.0,83.78,4.17,False,post,LE07_L2SP_025030_20210831_02_T1;LE07_L2SP_025031_20210831_02_T2
162520_0,2021-08-31T17:01:50Z,Sentinel-2,optical,sentinel-2-l2a,6,0.3066,99.7,85.05,5.43,False,post,S2A_15TXJ_20210831_1_L2A;S2A_15TXJ_20210831_0_L2A;S2A_15TXH_20210831_1_L2A;S2A_15TXH_20210831_0_L2A;S2A_15TWH_20210831_0_L2A;S2A_15TWH_20210831_1_L2A
162520_0,2021-09-01T17:21:33Z,Sentinel-2,optical,sentinel-2-l2a,8,0.0399,2.3,109.38,29.76,False,post,S2B_15TWJ_20210901_1_L2A;S2B_15TWJ_20210901_0_L2A;S2B_15TVJ_20210901_1_L2A;S2B_15TVJ_20210901_0_L2A;S2B_15TWH_20210901_1_L2A;S2B_15TWH_20210901_0_L2A;S2B_15TVH_20210901_1_L2A;S2B_15TVH_20210901_0_L2A
162664_0,2021-08-30T16:53:39Z,Landsat,optical,landsat-c2-l2,2,1.0,0.4,-37.11,-45.36,False,pre,LC08_L2SP_026030_20210830_02_T1;LC08_L2SP_026031_20210830_02_T1
162664_0,2021-08-31T15:45:59Z,Landsat,optical,landsat-c2-l2,2,0.9744,99.0,-14.23,-22.48,False,pre,LE07_L2SP_025030_20210831_02_T1;LE07_L2SP_025031_20210831_02_T2
162792_0,2021-08-07T17:22:19Z,Sentinel-2,optical,sentinel-2-l2a,12,1.0,99.5,-9.56,-11.46,False,pre,S2A_15TUG_20210807_1_L2A;S2A_15TUG_20210807_0_L2A;S2A_14TQM_20210807_1_L2A;S2A_14TQM_20210807_0_L2A;S2A_15TTG_20210807_1_L2A;S2A_15TTG_20210807_0_L2A;S2A_15TUF_20210807_1_L2A;S2A_15TUF_20210807_0_L2A;S2A_15TTF_20210807_1_L2A;S2A_15TTF_20210807_0_L2A;S2A_14TQL_20210807_1_L2A;S2A_14TQL_20210807_0_L2A
162792_0,2021-08-10T00:14:00Z,Sentinel-1,radar,sentinel-1-grd,1,0.9884,,45.3,43.4,False,post,S1A_IW_GRDH_1SDV_20210810T001348_20210810T001413_039160_049F36
167941_0,2022-04-11T16:53:03Z,Landsat,optical,landsat-c2-l2,1,1.0,11.7,-42.37,-55.87,False,pre,LC08_L2SP_026030_20220411_02_T1
167941_0,2022-04-11T17:11:55Z,Sentinel-2,optical,sentinel-2-l2a,1,1.0,59.9,-42.05,-55.55,False,pre,S2A_15TVH_20220411_0_L2A
167941_0,2022-04-14T17:21:52Z,Sentinel-2,optical,sentinel-2-l2a,1,0.9794,72.9,30.11,16.61,False,post,S2A_15TVH_20220414_0_L2A
168731_0,2022-05-26T17:12:07Z,Sentinel-2,optical,sentinel-2-l2a,2,0.6329,85.8,-5.05,-17.3,False,pre,S2B_15TXG_20220526_0_L2A;S2B_15TXF_20220526_0_L2A
168731_0,2022-05-26T23:57:39Z,Sentinel-1,radar,sentinel-1-grd,2,1.0001,,1.71,-10.54,True,during,S1A_IW_GRDH_1SDV_20220526T235714_20220526T235739_043389_052E6D;S1A_IW_GRDH_1SDV_20220526T235739_20220526T235804_043389_052E6D
168731_0,2022-05-28T17:02:18Z,Sentinel-2,optical,sentinel-2-l2a,2,1.0,98.5,42.79,30.54,False,post,S2A_15TXG_20220528_0_L2A;S2A_15TXF_20220528_0_L2A
169081_0,2022-04-21T17:12:19Z,Sentinel-2,optical,sentinel-2-l2a,6,0.9735,57.6,-20.68,-24.21,False,pre,S2A_15TWG_20220421_0_L2A;S2A_15TVG_20220421_0_L2A;S2A_15TUG_20220421_0_L2A;S2A_15TWF_20220421_0_L2A;S2A_15TVF_20220421_0_L2A;S2A_15TUF_20220421_0_L2A
169081_0,2022-04-24T17:22:14Z,Sentinel-2,optical,sentinel-2-l2a,6,0.6394,49.3,51.49,47.95,False,post,S2A_15TVG_20220424_0_L2A;S2A_15TUG_20220424_0_L2A;S2A_15TVG_20220424_1_L2A;S2A_15TUG_20220424_1_L2A;S2A_15TVF_20220424_0_L2A;S2A_15TUF_20220424_0_L2A
169884_0,2022-06-23T16:47:29Z,Landsat,optical,landsat-c2-l2,2,1.0,1.4,-40.21,-43.21,False,pre,LC08_L2SP_025030_20220623_02_T1;LC08_L2SP_025031_20220623_02_T1
169884_0,2022-06-25T17:12:06Z,Sentinel-2,optical,sentinel-2-l2a,6,1.0,87.7,8.2,5.2,False,post,S2B_15TXH_20220625_0_L2A;S2B_15TWH_20220625_0_L2A;S2B_15TXG_20220625_0_L2A;S2B_15TWG_20220625_0_L2A;S2B_15TXF_20220625_0_L2A;S2B_15TWF_20220625_0_L2A
