episode_id,imagery_grade,has_flood_imagery,has_baseline_imagery,n_overpasses,n_flood_window,n_during_episode,n_radar_flood,n_clear_optical_flood,platforms,best_overpass_utc,best_platform,best_window_label,best_coverage,best_cloud_pct,best_hours_from_begin,baseline_overpass_utc,baseline_platform,first_overpass_utc,last_overpass_utc
191899_0,clear,True,False,11,9,8,1,4,Landsat;Sentinel-1;Sentinel-2,2024-06-24T17:11:14Z,Landsat,during,0.3068,3.9,91.44,,,2024-06-20T17:31:55Z,2024-07-02T17:22:02Z
191899_1,clear,True,False,4,3,2,0,2,Landsat;Sentinel-2,2024-06-25T17:04:50Z,Landsat,during,1.0,24.8,16.08,,,2024-06-24T17:11:14Z,2024-06-27T17:22:15Z
191984_0,clear,True,True,3,1,0,0,1,Landsat;Sentinel-1,2024-05-03T16:47:15Z,Landsat,post,0.3879,3.6,23.29,2024-05-02T00:13:59Z,Sentinel-1,2024-05-02T00:13:59Z,2024-05-03T16:47:15Z
192209_0,clear,True,True,13,6,10,0,4,Landsat;Sentinel-1;Sentinel-2,2024-05-23T17:21:53Z,Sentinel-2,during,0.4317,5.7,45.86,2024-05-20T17:12:04Z,Sentinel-2,2024-05-20T17:12:04Z,2024-05-30T17:12:06Z
192209_1,cloudy,False,True,3,1,1,0,0,Landsat;Sentinel-2,2024-05-23T17:21:43Z,Sentinel-2,pre,1.0,0.2,-32.39,2024-05-23T17:21:43Z,Sentinel-2,2024-05-23T17:21:43Z,2024-05-25T16:58:28Z
192821_0,clear,True,False,13,9,11,1,2,Landsat;Sentinel-1;Sentinel-2,2024-06-26T16:58:41Z,Landsat,during,0.6022,0.1,252.98,,,2024-06-15T17:31:41Z,2024-07-02T17:21:51Z
192828_0,cloudy,False,False,3,2,0,0,0,Landsat;Sentinel-2,2024-06-04T16:46:25Z,Landsat,post,1.0,82.4,18.27,,,2024-06-03T16:52:18Z,2024-06-04T17:11:40Z
192874_0,cloudy,False,False,1,0,0,0,0,Sentinel-2,2024-06-04T17:11:55Z,Sentinel-2,pre,0.4699,66.6,-5.38,,,2024-06-04T17:11:55Z,2024-06-04T17:11:55Z
192935_0,cloudy,False,False,3,2,0,0,0,Landsat;Sentinel-2,2024-06-17T17:04:46Z,Landsat,post,1.0,95.1,38.68,,,2024-06-15T17:31:41Z,2024-06-17T17:21:50Z
192939_0,cloudy,False,True,3,0,0,0,0,Landsat;Sentinel-1;Sentinel-2,2024-07-14T17:11:59Z,Sentinel-2,pre,1.0,57.5,-29.47,2024-07-14T16:46:43Z,Landsat,2024-07-14T16:46:43Z,2024-07-14T23:58:03Z
