BEGIN_YEARMONTH,BEGIN_DAY,END_YEARMONTH,END_DAY,EVENT_ID,STATE,EVENT_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
199605,9,199605,13,5544676,IOWA,Flood,DECATUR,0,0,0,0,,,,,,
199605,9,199605,13,5544677,IOWA,Flood,WAYNE,0,0,0,0,,,,,,
199605,23,199605,24,5544699,IOWA,Flood,RINGGOLD,0,0,0,0,,,,,,
199606,21,199606,22,5562445,IOWA,Flood,HARRISON,0,0,0,0,7.5M,24M,,,,
199605,9,199605,13,5544678,IOWA,Flood,APPANOOSE,0,0,0,0,,,,,,
199605,23,199605,24,5544682,IOWA,Flood,DALLAS,0,0,0,0,,,,,,
199605,23,199605,24,5544683,IOWA,Flood,POLK,0,0,0,0,,,,,,
199605,26,199605,31,5544710,IOWA,Flood,CASS,0,0,0,0,,,,,,
199605,26,199605,31,5544721,IOWA,Flood,WAPELLO,0,0,0,0,,,,,,
199605,26,199605,31,5544722,IOWA,Flood,TAYLOR,0,0,0,0,,,,,,
199605,26,199605,31,5544723,IOWA,Flood,RINGGOLD,0,0,0,0,,,,,,
199605,9,199605,10,5557833,IOWA,Flood,JEFFERSON,0,0,0,0,,,,,,
199605,9,199605,10,5557834,IOWA,Flood,HENRY,0,0,0,0,,,,,,
199605,26,199605,31,5544720,IOWA,Flood,MONROE,0,0,0,0,,,,,,
199605,23,199605,24,5544691,IOWA,Flood,MAHASKA,0,0,0,0,,,,,,
199607,16,199607,17,5556819,IOWA,Flash Flood,WOODBURY,0,0,0,0,1M,,,,,
199605,9,199605,13,5544679,IOWA,Flood,DAVIS,0,0,0,0,.1M,50K,,,,
199605,9,199605,9,5545086,IOWA,Flash Flood,MAHASKA,0,0,0,0,.5M,,,,,
199605,23,199605,24,5544690,IOWA,Flood,MARION,0,0,0,0,,,,,,
199605,9,199605,13,5544670,IOWA,Flood,CLARKE,0,0,0,0,,,,,,
199605,9,199605,13,5544671,IOWA,Flood,LUCAS,0,0,0,0,,,,,,
199605,10,199605,11,5544264,IOWA,Flood,MADISON,0,0,0,0,,,,,,
199605,23,199605,24,5544680,IOWA,Flood,AUDUBON,0,0,0,0,,,,,,
199605,23,199605,24,5544681,IOWA,Flood,GUTHRIE,0,0,0,0,,,,,,
199605,9,199605,13,5544669,IOWA,Flood,UNION,0,0,0,0,,,,,,
