id,foreign_id,lat,lng,description,river,town,active
1853,BEAVER02,43.098201,-92.5402,Beaver Creek at Bassett (BEAVER02),Beaver Creek,Bassett,t
1828,BEAVERCRK01,41.995981,-94.125602,Beaver Creek at P54 (C Ave.) (BEAVERCRK01),Beaver Creek,Beaver,t
1758,MDDLRCCN01,41.590149,-94.20324,Middle Raccoon River at Redfield (MDDLRCCN01),Middle Raccoon River,Redfield,t
1737,LTLCEDAR02,43.226619,-92.677493,Little Cedar River at Orchard (LTLCEDAR02),Little Cedar River,Orchard,t
1813,NFMQKTA01,42.305968,-91.021465,North Fork Maquoketa River at HWY151 (NFMQKTA01),North Fork Maquoketa River,Cascade,t
724,ENISH04,41.145514,-95.176348,East Nishnabotna River at 110th St at Elliott (ENISH04),East Nishnabotna River,Elliott,t
1882,GRANCRK01,42.585214,-92.918055,Gran Creek at Aplington(GRANCRK01),Gran Creek,Aplington,f
1881,LTLASHER01,42.159465,-92.90413,Little Asher Creek at Conrad (LTLASHER01),Little Asher Creek,Conrad,t
1819,ROCKCR01,43.210351,-92.810228,"Rock Creek at Lancer Ave., Cty. T38 (ROCKCR01)",Rock Creek,Orchard,t
995,BEARCRK01,42.0809,-91.809,Bear Creek at Hollenback Rd at Palo (BEARCRK01),Bear Creek,Palo,t
1919,WLNTCR01,41.609738,-93.755504,Walnut Creek at Clive (WLNTCR01),Walnut Creek,Clive,t
11877,MUDCREEK01,43.447468,-96.342079,Mud Creek at Lester (MUDCREEK01),Mud Creek,Lester,t
731,KEGCR01,41.138551,-95.704489,Keg Creek at Barrus Rd Mineola (KEGCR01),Keg Creek,Mineola,t
11879,CEDARRV01,41.669707,-91.155688,Cedar River at Rochester (CEDARRV01),Cedar River,Rochester,t
11882,WNISH03,41.476631,-95.352936,West Nishnabotna River at Avoca (WNISH03),West Nishnabotna River,Avoca,t
11866,EFWAPSI01,42.876523,-92.237085,East Fork Wapsipinicon River at Frederika (EFWAPSI01),East Fork Wapsipinicon River,Frederika,t
1834,MSQUTOCR01,41.288149,-95.793194,Mosquito Creek at Yellow Pole RD (MSQUTOCR01),Mosquito Creek,Council Bluffs,t
1736,LTLCEDAR01,42.957907,-92.518955,Little Cedar River at Nashua (LTLCEDAR01),Little Cedar River,Nashua,t
997,BEVRCRK01,42.3609,-93.1395,Beaver Creek at Hwy 175 at Eldora (BEVRCRK01),Beaver Creek,Eldora,t
1837,WAPSI02,41.829532,-90.811487,Wapsipinicon River at HWY30 (WAPSI02),Wapsipinicon River,Wheatland,f
11874,WONDERCR01,43.201256,-91.97801,Wonder Creek at Spillville (WONDERCR01),Wonder Creek,Spillville,t
1831,RCCNRV01,41.534407,-93.95032,Raccoon River at R16 (R AVE) (RCCNRV01),Raccoon River,Van Meter,t
11847,DUCKCR01,41.5324,-90.4751,Duck Creek at Riverdale (DUCKCR01),Duck Creek,Riverdale,t
748,SSKNK03,42.034248,-93.593944,South Skunk River at E 13th St at Ames (SSKNK03),South Skunk River,Ames,t
726,INDCR01,41.976434,-91.57812,Indian Creek at Mt. Vernon Rd SE at Cedar Rapids (INDCR01),Indian Creek,Cedar Rapids,t
1843,WBFLOYDRV01,42.923777,-96.177476,West Branch Floyd River at 500th ST (WBFLOYDRV01),West Branch Floyd River,Struble,t
1751,NSKNK01,41.687869,-92.859233,North Skunk River at Kellogg (NSKNK01),North Skunk River,Kellogg,t
1673,SOAPCR01,40.879966,-92.332873,Soap Creek at Quail Ave at Floris (SOAPCR01),Soap Creek,Floris,t
1033,TKYRV03,42.9977,-91.6579,Turkey River at Mill St at Clermont (TKYRV03),Turkey River,Clermont,t
1747,MDDLRCCN03,42.052492,-94.823041,Middle Raccoon River at Carroll (MDDLRCCN03),Middle Raccoon River,Carroll,t
734,LTLWLNT01,41.633309,-93.833329,Little Walnut Creek at NW 156th St at Clive (LTLWLNT01),Little Walnut Creek,Clive,t
1846,LTLSIOUX05,43.459518,-95.230817,Little Sioux at 130th ST (LTLSIOUX05),Little Sioux River,Montgomery,t
1822,MCHKNCK01,41.288281,-92.69654,Muchakinock Creek at HWY92 (MCHKNCK01),Muchakinock Creek,Oskaloosa,f
1010,HONEYCR01,41.9602,-90.4708,Honey Creek at 1st St at Charlotte (HONEYCR01),Honey Creek,Charlotte,t
764,WNISH04,41.645388,-95.312665,West Nishnabotna River at Chatburn Ave at Harlan (WNISH04),West Nishnabotna River,Harlan,f
11881,EBRWNISH01,41.476269,-95.330063,East Branch West Nishnabotna River at Avoca (EBRWNISH01),East Branch West Nishnabotna River,Avoca,t
