id,foreign_id,lat,lng,description,river,town,active
711,TAMI4,41.95417,-92.58056,Iowa River near Tama (TAMI4),Iowa River,Tama,t
1958,05457440,43.415,-92.9849,Deer Creek near Carpenter (05457440),Deer Creek,Carpenter,t
1933,06479770,44.467522,-96.88742,Big Sioux River near Bruce (06479770),Big Sioux River,Estelline,t
539,05453000,41.749447,-92.182127,Big Bear Creek at Ladora (05453000),Big Bear Creek,Ladora,t
595,05449500,42.759944,-93.621849,Iowa River near Rowan (ROWI4-05449500),Iowa River,Rowan,t
581,GJTI4,42.01806,-94.29444,Buttrick Creek near Grand Junction (GJTI4),Buttrick Creek,Grand Junction,t
1974,06811800,41.08,-95.093,East Tarkio Creek near Stanton (06811800),East Tarkio Creek,Stanton ,t
604,05458900,42.629426,-92.543522,West Fork Cedar River at Finchford (FNHI4-05458900),West Fork Cedar River,Finchford,t
635,05484000,41.589432,-94.151346,South Raccoon River at Redfield (REDI4-05484000),South Raccoon River,Redfield,t
551,05463500,42.407764,-92.463245,Black Hawk Creek at Hudson (05463500),Black Hawk Creek,Hudson,t
1929,06479438,45.006075,-97.165076,Big Sioux River near Watertown (06479438),Big Sioux River N,Watertown,t
640,05486000,41.457907,-93.654969,North River near Norwalk (NRWI4-05486000),North River,Norwalk,t
662,06609500,41.64249,-95.782786,Boyer River at Logan (LGNI4-06609500),Boyer River,Logan,t
596,05451500,42.065821,-92.9077,Iowa River at Marshalltown (MIWI4-05451500),Iowa River,Marshalltown,t
676,BLVI4,42.27278,-90.42111,Mississippi River at Bellevue (BLVI4),Mississippi,Bellevue,t
689,GLDI2,40.88139,-91.0225,Mississippi River at Gladstone (GLDI2),Mississippi,Gladstone,t
1940,06483950,43.051376,-96.489755,Big Sioux River near Havarden (06478513-HAWDI4),Big Sioux River,Hawarden,t
1937,06481000,43.790446,-96.745662,Big Sioux River near Dell Rapids (06481000),Big Sioux River,Dell Rapids,t
1612,05482315,42.304167,-95.041667,Black Hawk Lake at Lake View (05482315),Black Hawk Lake,Lake View,t
641,05486490,41.424158,-93.587439,Middle River near Indianola (IDNI4-05486490),Middle River,Indianola,t
1628,06903880,40.825011,-92.892699,Rathbun Reservoir at Moravia (06903880-RADI4),Chariton River (Rathbun Res.),Moravia,t
1615,06604200,43.378611,-95.181111,West Okoboji Lake at Lakeside Lab near Milford (06604200),West Okoboji Lake,Milford,t
633,05482430,42.169083,-94.726028,North Raccoon River near Lanesboro (LKCI4-05482430),North Raccoon River,Lanesboro,t
537,05452000,41.964162,-92.313242,Salt Creek near Elberon (05452000),Salt Creek,Elberon,t
543,05454220,41.718346,-91.740174,Clear Creek near Oxford (05454220),Clear Creek,Oxford,t
1692,06811875,40.7425,-95.129444,Snake Creek near Yorktown (06811875),Snake Creek,Yorktown,t
587,05411850,43.054188,-91.809098,Turkey River near Eldorado (EDRI4-05411850),Turkey River,Eldorado,t
619,05471050,41.681378,-93.246594,South Skunk River at Colfax (CFXI4-05471050),South Skunk River,Colfax,t
584,WWDI4,41.80069,-93.94061,Beaver Creek near Woodward (WWDI4),Beaver Creek,Woodward,t
703,NBOI2,41.19139,-91.05556,Mississippi River at New Boston (NBOI2),Mississippi,New Boston,t
1644,SPWI4,43.136667,-95.143889,Little Sioux River at Spencer (SPWI4),Little Sioux River,Spencer,t
10733,spii4,43.184268,-95.191472,Little Sioux River at 320th St at Spencer (LTLSIOUX03-SPII4),Little Sioux River N,Spencer,t
656,06605000,43.128026,-95.21083,Ocheyedan River near Spencer (SPOI4-06605000),Ocheyedan River,Spencer,t
1973,06811760,41.1017,-95.1028,Tarkio River near Elliott (06811760-TRKI4),Tarkio River,Elliott ,t
1608,05421890,41.915,-90.6,Silver Creek at Welton (05421890),Silver Creek,Welton,t
367,06610000,41.258889,-95.922222,Missouri River at Omaha (06610000-OMHN1),Missouri River,Omaha,t
630,05481300,42.25192,-93.996898,Des Moines River near Stratford (STRI4-05481300),Des Moines River,Stratford,t
650,06599900,42.693333,-96.37,Perry Creek near Milnerville (PCMI4-06599900),Perry Creek,Milnerville,t
519,05387440,43.406913,-91.899046,Upper Iowa River at Bluffton (05387440),Upper Iowa River,Bluffton,t
698,LYNW3,43.211667,-91.098611,Mississippi River at Lynxville (LYNW3),Mississippi,Lynxville,t
667,06810000,40.601667,-95.645,Nishnabotna River above Hamburg (HMBI4-06810000),Nishnabotna River above,Hamburg,t
613,05465000,41.409192,-91.290434,Cedar River near Conesville (CNEI4-05465000),Cedar River,Conesville,t
527,05420680,42.836091,-92.2574,Wapsipinicon River near Tripoli (05420680),Wapsipinicon River,Tripoli,t
585,05387500,43.304889,-91.795543,Upper Iowa River at Decorah (DEHI4-05387500),Upper Iowa River,Decorah,t
583,PLKI4,41.7942,-93.7295,Big Creek Lake near Polk City (PLKI4),Big Creek Lake,Polk City,t
710,06482020,43.566944,-96.710833,Big Sioux River at N Cliff Ave at Sioux Falls (SXFS2),Big Sioux River,Sioux Falls,t
