Join_Count,TARGET_FID,id,foreign_id,foreign_id1,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng,usgs_site_no_revised
1,47,683,DLDI4,dldi4,42.53861,-90.64639,Mississippi River at Dubuque (DLDI4),Mississippi,Dubuque,t,{D09DB136-C0FD-4F58-8B45-0382680A89B4}, , , , ,6/11/2012 0:00:00,0.0,951301.75,3849.79,"IA,IL,WI",7060005.0,Apple-Plum,4.7249323107,5414820
1,48,696,LECI4,leci4,41.57444,-90.40306,Mississippi River at LeClaire (LECI4),Mississippi,LeClaire,t,{C5D4BA12-6399-4A40-A170-2F26C7D2C6B1}, , , , ,6/11/2012 0:00:00,0.0,634693.16,2568.51,"IA,IL",7080101.0,Copperas-Duck,5.58462516616,5420000
1,49,563,05481650,sdti4,41.680544,-93.668276,Des Moines River near Saylorville (05481650),Des Moines River,Saylorville,t,{691DCFE7-DFF0-48AA-9159-7CD3F9B2C5C2}, , , , ,6/11/2012 0:00:00,0.0,1104287.57,4468.9,IA,7100004.0,Middle Des Moines,7.05359467269,5481650
1,50,567,05484600,wdmi4,41.531712,-93.781973,Raccoon River near West Des Moines (05484600),Raccoon River,West Des Moines,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00:00,0.0,1581359.74,6399.54,IA,7100006.0,North Raccoon,7.63352986486,5484600
1,51,685,EOKI4,eoki4,40.3975,-91.374167,Mississippi River at Keokuk (EOKI4),Mississippi,Keokuk,t,{83925D5C-3127-4C58-BFB6-A623B748AAE9}, , , , ,6/11/2012 0:00:00,0.0,1546231.99,6257.38,"IA,IL,MO",7080104.0,Flint-Henderson,6.48831613038,5474500
1,52,652,06600000,sioi4,42.534883,-96.410724,Perry Creek at 38th St at Sioux City (SIOI4-06600000),Perry Creek,Sioux City,t,{5B6423E1-71A2-4772-946C-68C787D9B1CF}, , , , ,6/11/2012 0:00:00,0.0,1029616.15,4166.71,"IA,NE,SD",10230001.0,Blackbird-Soldier,7.31301692529,6600000
1,53,1955,05420850,orni4,42.7147,-92.0416,Little Wapsipinicon River near Oran (05420850),Little Wapsipinicon River,Oran,t,{D3C57FE4-D26B-46B6-B387-EAB1A96A2CF0}, , , , ,6/11/2012 0:00:00,0.0,1003377.82,4060.53,"IA,MN",7080102.0,Upper Wapsipinicon,5.6383031509,5420850
1,54,1614,06604000,slki4,43.469722,-95.123611,Spirit Lake near Orleans (06604000-SLKI4),Spirit Lake,Orleans,t,{AC6CFCCF-A163-42EF-A69B-B849D9CA226B}, , , , ,12/1/2016 0:00:00,0.0,1812413.43,7334.58,"IA,MN",10230003.0,Little Sioux,8.94025563372,6604000
1,55,598,05454500,iowi4,41.656683,-91.541002,Iowa River at Iowa City (IOWI4-05454500),Iowa River,Iowa City,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0.0,1078893.67,4366.13,IA,7080209.0,Lower Iowa,5.82214410209,5454500
1,56,1633,MIFI4,mifi4,43.327778,-95.201667,Little Sioux River at Milford (MIFI4),Little Sioux River,Milford,t,{AC6CFCCF-A163-42EF-A69B-B849D9CA226B}, , , , ,12/1/2016 0:00:00,0.0,1812413.43,7334.58,"IA,MN",10230003.0,Little Sioux,8.94025563372,6600100
1,57,1632,SAYI4,sayi4,41.70361,-93.68917,Des Moines River at Saylorville Reservoir (SAYI4),Des Moines River,Saylorville Reservoir,t,{691DCFE7-DFF0-48AA-9159-7CD3F9B2C5C2}, , , , ,6/11/2012 0:00:00,0.0,1104287.57,4468.9,IA,7100004.0,Middle Des Moines,7.05359467269,5481650
1,58,594,05422000,dewi4,41.766974,-90.534859,Wapsipinicon River near De Witt (DEWI4-05422000),Wapsipinicon River,De Witt,t,{2CA76B6F-4299-487E-B45B-1C2EA9361D20}, , , , ,6/11/2012 0:00:00,0.0,628099.07,2541.83,IA,7080103.0,Lower Wapsipinicon,3.77823775055,5422000
1,59,1961,05469990,stci4,42.1503,-93.6205,Keigley Branch near Story City (05469990),Keigley Branch,Story City ,t,{A3289F99-CD86-4AF6-A77E-5442630D5AFD}, , , , ,6/11/2012 0:00:00,0.0,1179865.93,4774.75,IA,7080105.0,South Skunk,6.74624294085,5469990
1,60,699,05389500,mcgi4,43.027222,-91.173056,Mississippi River at McGregor (MCGI4),Mississippi,McGregor,t,{66B6FBB4-281D-44B8-AEEC-70EBBC503DA2}, , , , ,2/1/2017 0:00:00,0.0,911495.16,3688.69,"IA,MN,WI",7060001.0,Coon-Yellow,4.44162244149,5389500
1,61,637,05484650,dmwi4,41.561656,-93.703554,Raccoon River at 63rd St at Des Moines (DMWI4-05484650),Raccoon River,Des Moines,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00:00,0.0,1581359.74,6399.54,IA,7100006.0,North Raccoon,7.63352986486,5484650
