Join_Count,TARGET_FID,id,foreign_id,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng
1,57,1632,SAYI4,41.703609999999998,-93.689170000000004,Des Moines River at Saylorville Reservoir (SAYI4),Des Moines River,Saylorville Reservoir,t,{691DCFE7-DFF0-48AA-9159-7CD3F9B2C5C2}, , , , ,6/11/2012 0:00:00,0,1104287.570000000065193,4468.899999999999636,IA,07100004,Middle Des Moines,7.053594672690000
1,58,594,05422000,41.766973999999998,-90.534858999999997,Wapsipinicon River near De Witt (DEWI4-05422000),Wapsipinicon River,De Witt,t,{2CA76B6F-4299-487E-B45B-1C2EA9361D20}, , , , ,6/11/2012 0:00:00,0,628099.069999999948777,2541.829999999999927,IA,07080103,Lower Wapsipinicon,3.778237750550000
1,59,1961,05469990,42.150300000000001,-93.620500000000007,Keigley Branch near Story City (05469990),Keigley Branch,Story City ,t,{A3289F99-CD86-4AF6-A77E-5442630D5AFD}, , , , ,6/11/2012 0:00:00,0,1179865.929999999934807,4774.750000000000000,IA,07080105,South Skunk,6.746242940850000
1,60,699,05389500,43.027222000000002,-91.173056000000003,Mississippi River at McGregor (MCGI4),Mississippi,McGregor,t,{66B6FBB4-281D-44B8-AEEC-70EBBC503DA2}, , , , ,2/1/2017 0:00:00,0,911495.160000000032596,3688.690000000000055,"IA,MN,WI",07060001,Coon-Yellow,4.441622441490000
1,61,637,05484650,41.561655999999999,-93.703553999999997,Raccoon River at 63rd St at Des Moines (DMWI4-05484650),Raccoon River,Des Moines,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00:00,0,1581359.739999999990687,6399.539999999999964,IA,07100006,North Raccoon,7.633529864860000
1,62,1970,06602190,42.475000000000001,-96.189700000000002,Elliott Creek at Lawton (06602190),Elliott Creek,Lawton,t,{0B4CD9CA-0CD3-4B46-9A20-22E101E6B4AC}, , , , ,6/11/2012 0:00:00,0,618384.109999999986030,2502.510000000000218,IA,10230004,Monona-Harrison Ditch,3.726968919550000
1,63,673,06904010,40.692517000000002,-92.772418000000002,Chariton River near Moulton (MOLI4-06904010),Chariton River,Moulton,t,{826447E1-861E-4BC6-8E06-83FDC93BE10C}, , , , ,6/11/2012 0:00:00,0,865429.260000000009313,3502.269999999999982,"IA,MO",10280201,Upper Chariton,4.271477292800000
0,64,1944,06478500,43.185825999999999,-97.635621999999998,James River near Scotland (06478500),James River,Scotland,t,,,,,,,,,,,,,
1,65,675,06609100,41.534166999999997,-96.096389000000002,Missouri River near Blair (BLAN1),Missouri,Blair,t,{137604D3-AC1D-4A2C-99B1-C2EE95514D5C}, , , , ,6/11/2012 0:00:00,0,712850.780000000027940,2884.809999999999945,"IA,NE",10230006,Big Papillion-Mosquito,4.422186935030000
1,66,671,06903400,40.951889999999999,-93.259848000000005,Chariton River near Chariton (CHTI4-06903400),Chariton River,Chariton,t,{826447E1-861E-4BC6-8E06-83FDC93BE10C}, , , , ,6/11/2012 0:00:00,0,865429.260000000009313,3502.269999999999982,"IA,MO",10280201,Upper Chariton,4.271477292800000
1,67,624,05476590,43.126111000000002,-94.705832999999998,Des Moines River at Emmetsburg (EMTI4-05476590),Des Moines River,Emmetsburg,t,{160E026C-2368-4E10-BD10-AC1A55DD6A5A}, , , , ,6/11/2012 0:00:00,0,688598.170000000041910,2786.659999999999854,"IA,MN",07100002,Upper Des Moines,4.379394751550000
